Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
The French American School of Tampa Bay,Etats-Unis,St Petersburg. Florida,EPA,68.40,52.80,81.30,72.50,72.90,90.80,80.80,91.30,78.10,73.10,99.30,92.30,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de la Silicon Valley,Etats-Unis,Sunnyvale,EPA,78.60,70.00,92.30,96.40,84.50,99.20,82.60,96.90,76.10,87.00,96.60,88.20,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rochambeau - The French International School,Etats-Unis,Washington-Bethesda,EPA,76.40,65.40,88.90,84.20,82.30,96.30,73.90,98.70,71.10,72.20,96.70,91.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole française internationale Charles de Gaulle-Miras,Kazakhstan,Astana,EPA,63.90,51.10,92.90,57.10,74.20,100.00,55.60,100.00,99.20,95.80,100.00,100.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,81.60,75.50,86.80,78.30,85.20,96.60,81.30,96.70,91.20,58.50,96.10,91.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Etablissement scolaire français Blaise Pascal,RDC,Lubumbashi,EPA,64.80,71.40,86.10,74.40,67.00,96.60,48.90,94.20,52.00,63.80,96.30,59.80,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,69.00,66.00,82.00,75.50,71.50,91.00,66.00,90.00,94.00,70.00,81.00,66.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,72.75,77.75,87.75,82.50,75.13,96.75,77.00,92.75,95.00,62.50,84.50,68.75,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,66.00,64.00,80.00,74.50,69.50,96.00,70.00,93.00,92.00,46.00,83.00,67.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,49.00,49.00,82.00,76.00,75.50,96.00,63.00,84.00,97.00,48.00,87.00,67.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,82.00,78.00,89.00,85.00,72.00,99.00,75.00,93.00,96.00,70.00,74.00,77.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Eric Tabarly,Maroc,Essaouira,EPR,63.00,71.00,79.00,73.00,55.50,100.00,61.00,90.00,100.00,61.00,94.00,73.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
