Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,75.40,nan,nan,nan,nan,nan,CE2,72.20,nan,nan,nan,104.31,nan,nan,nan,nan,nan,86.40,88.80,69.80,86.10,83.60,81.60,94.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Saragosse,Espagne,Saragosse,EPR,nan,nan,nan,nan,nan,nan,68.30,nan,nan,nan,nan,nan,CE2,61.50,nan,nan,nan,83.9,nan,nan,nan,nan,nan,79.20,61.90,65.60,74.90,74.20,76.70,74.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Castilla y León,Espagne,Valladolid,EPR,nan,nan,nan,nan,nan,nan,68.80,nan,nan,nan,nan,nan,CE2,44.10,nan,nan,nan,82.48,nan,nan,nan,nan,nan,74.00,43.80,58.50,61.60,73.70,76.20,82.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,75.00,nan,nan,nan,nan,nan,CE2,67.80,nan,nan,nan,84.42,nan,nan,nan,nan,nan,84.40,58.20,58.70,49.40,76.60,78.00,83.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée franco-éthiopien Guébré Mariam,Ethiopie,Addis-Abeba,EPR,nan,nan,nan,nan,nan,nan,68.70,nan,nan,nan,nan,nan,CE2,67.00,nan,nan,nan,88.64,nan,nan,nan,nan,nan,80.00,69.30,65.20,74.30,79.40,81.60,89.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École française de Thessalonique,Grèce,Thessalonique,EPR,nan,nan,nan,nan,nan,nan,69.60,nan,nan,nan,nan,nan,CE2,76.30,nan,nan,nan,101.37,nan,nan,nan,nan,nan,90.50,68.60,61.30,43.50,83.80,81.40,87.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Victor Hugo,Italie,Florence,EPR,nan,nan,nan,nan,nan,nan,80.10,nan,nan,nan,nan,nan,CE2,75.80,nan,nan,nan,102.75,nan,nan,nan,nan,nan,91.10,76.00,70.20,70.20,83.20,87.00,96.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Areva / Ecole Mlf,Finlande,Rauma,EE,nan,nan,nan,nan,nan,nan,75.00,nan,nan,nan,nan,nan,CE2,71.30,nan,nan,nan,116.11,nan,nan,nan,nan,nan,83.30,90.00,91.70,95.80,85.30,96.30,88.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF TotalEnergies ,Royaume-Uni,Aberdeen,EE,nan,nan,nan,nan,nan,nan,62.50,nan,nan,nan,nan,nan,CE2,76.90,nan,nan,nan,125.56,nan,nan,nan,nan,nan,91.70,80.00,72.90,68.80,75.20,94.40,94.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF Bouygues Bâtiment International,Turkménistan,Ashgabat,EE,nan,nan,nan,nan,nan,nan,62.50,nan,nan,nan,nan,nan,CE2,83.80,nan,nan,nan,133.33,nan,nan,nan,nan,nan,91.70,90.00,91.70,45.80,74.10,87.50,100.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,nan,nan,nan,nan,nan,nan,71.80,nan,nan,nan,nan,nan,CE2,72.30,nan,nan,nan,99.27,nan,nan,nan,nan,nan,78.60,72.90,64.60,71.90,82.10,74.10,85.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TFS - École internationale du Canada,Canada (hors Québec),Toronto,EPA,nan,nan,nan,nan,nan,nan,76.50,nan,nan,nan,nan,nan,CE2,69.60,nan,nan,nan,96.08,nan,nan,nan,nan,nan,88.30,46.70,62.70,67.90,85.00,85.80,87.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,nan,nan,nan,nan,nan,nan,78.10,nan,nan,nan,nan,nan,CE2,75.70,nan,nan,nan,109.16,nan,nan,nan,nan,nan,81.30,81.30,60.90,74.70,81.90,76.00,90.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Honoré de Balzac,Egypte,Le Caire,EPA,nan,nan,nan,nan,nan,nan,60.30,nan,nan,nan,nan,nan,CE2,52.20,nan,nan,nan,72.44,nan,nan,nan,nan,nan,65.70,50.40,52.30,58.70,72.50,72.00,82.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ISE Molière,Egypte,Alexandrie,EPA,nan,nan,nan,nan,nan,nan,41.70,nan,nan,nan,nan,nan,CE2,44.00,nan,nan,nan,96.5,nan,nan,nan,nan,nan,91.70,32.00,35.80,38.10,70.50,81.30,66.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,nan,nan,nan,nan,nan,nan,68.70,nan,nan,nan,nan,nan,CE2,69.90,nan,nan,nan,103.33,nan,nan,nan,nan,nan,82.50,71.40,65.30,78.00,78.90,76.60,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international de l'AFLEC,Emirats arabes unis,Dubaï,EPA,nan,nan,nan,nan,nan,nan,74.20,nan,nan,nan,nan,nan,CE2,69.00,nan,nan,nan,93.06,nan,nan,nan,nan,nan,81.40,72.20,67.20,72.00,83.70,80.00,89.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Boston,Etats-Unis,Boston,EPA,nan,nan,nan,nan,nan,nan,79.70,nan,nan,nan,nan,nan,CE2,77.50,nan,nan,nan,94.83,nan,nan,nan,nan,nan,92.90,83.60,70.60,85.60,86.30,82.30,91.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Section française de l'Awty International School,Etats-Unis,Houston,EPA,nan,nan,nan,nan,nan,nan,86.30,nan,nan,nan,nan,nan,CE2,85.30,nan,nan,nan,103.69,nan,nan,nan,nan,nan,90.90,79.00,73.70,88.50,89.80,90.10,100.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Los Angeles,Etats-Unis,Los Angeles,EPA,nan,nan,nan,nan,nan,nan,60.90,nan,nan,nan,nan,nan,CE2,73.70,nan,nan,nan,98.9,nan,nan,nan,nan,nan,78.20,54.40,55.10,68.80,82.80,80.60,89.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École Bilingue de la Nouvelle-Orléans,Etats-Unis,Nouvelle-Orléans,EPA,nan,nan,nan,nan,nan,nan,77.50,nan,nan,nan,nan,nan,CE2,60.80,nan,nan,nan,87.11,nan,nan,nan,nan,nan,79.70,57.00,58.20,60.60,84.00,84.50,86.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École internationale de la Péninsule,Etats-Unis,Palo Alto,EPA,nan,nan,nan,nan,nan,nan,90.70,nan,nan,nan,nan,nan,CE2,80.30,nan,nan,nan,93.31,nan,nan,nan,nan,nan,94.10,77.10,74.00,91.20,88.50,96.00,89.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de Rhode Island,Etats-Unis,Providence,EPA,nan,nan,nan,nan,nan,nan,80.6,nan,nan,nan,nan,nan,CE2,65.8,nan,nan,nan,86.67,nan,nan,nan,nan,nan,77.8,61.7,53.9,60.0,84.3,87.1,93.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The French American School of Tampa Bay,Etats-Unis,St Petersburg. Florida,EPA,nan,nan,nan,nan,nan,nan,69.6,nan,nan,nan,nan,nan,CE2,74.1,nan,nan,nan,92.22,nan,nan,nan,nan,nan,85.7,82.9,71.4,85.7,88.6,87.5,98.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de la Silicon Valley,Etats-Unis,Sunnyvale,EPA,nan,nan,nan,nan,nan,nan,93.2,nan,nan,nan,nan,nan,CE2,80.7,nan,nan,nan,132.22,nan,nan,nan,nan,nan,95.1,86.4,78.8,88.3,95.7,96.5,94.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rochambeau - The French International School,Etats-Unis,Washington-Bethesda,EPA,nan,nan,nan,nan,nan,nan,79.20,nan,nan,nan,nan,nan,CE2,75.10,nan,nan,nan,98.36,nan,nan,nan,nan,nan,90.80,76.50,71.60,78.20,86.20,81.20,87.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole française internationale Charles de Gaulle-Miras,Kazakhstan,Astana,EPA,nan,nan,nan,nan,nan,nan,85.00,nan,nan,nan,nan,nan,CE2,82.50,nan,nan,nan,108.33,nan,nan,nan,nan,nan,90.00,84.00,80.00,98.30,91.20,88.80,98.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,nan,nan,nan,nan,nan,nan,73.10,nan,nan,nan,nan,nan,CE2,75.20,nan,nan,nan,91.51,nan,nan,nan,nan,nan,83.70,73.30,71.50,81.20,83.30,85.20,89.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Etablissement scolaire français Blaise Pascal,RDC,Lubumbashi,EPA,nan,nan,nan,nan,nan,nan,47.10,nan,nan,nan,nan,nan,CE2,67.60,nan,nan,nan,111.05,nan,nan,nan,nan,nan,79.60,68.80,64.70,65.20,74.20,71.00,68.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,nan,nan,nan,nan,nan,nan,70.00,nan,nan,nan,nan,nan,CE2,78.00,nan,nan,nan,111.00,nan,nan,nan,nan,nan,87.00,83.00,71.00,72.00,85.00,72.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,nan,nan,nan,nan,nan,nan,72.00,nan,nan,nan,nan,nan,CE2,79.50,nan,nan,nan,115.25,nan,nan,nan,nan,nan,88.25,81.00,74.25,81.00,88.00,76.25,76.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,nan,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,nan,CE2,69.00,nan,nan,nan,97.00,nan,nan,nan,nan,nan,75.00,71.00,67.00,59.00,79.00,74.00,56.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,nan,nan,nan,nan,nan,nan,45.00,nan,nan,nan,nan,nan,CE2,59.00,nan,nan,nan,78.00,nan,nan,nan,nan,nan,67.00,51.00,57.00,60.00,73.00,79.00,61.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,nan,nan,nan,nan,nan,nan,56.00,nan,nan,nan,nan,nan,CE2,73.00,nan,nan,nan,108.00,nan,nan,nan,nan,nan,82.00,75.00,67.00,73.00,85.00,74.00,82.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Eric Tabarly,Maroc,Essaouira,EPR,nan,nan,nan,nan,nan,nan,50.00,nan,nan,nan,nan,nan,CE2,67.00,nan,nan,nan,94.00,nan,nan,nan,nan,nan,86.00,54.00,54.00,67.00,78.00,56.00,59.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,nan,nan,nan,nan,nan,nan,71.00,nan,nan,nan,nan,nan,CE2,74.00,nan,nan,nan,100.00,nan,nan,nan,nan,nan,81.00,80.00,76.00,74.00,88.00,86.00,84.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,nan,nan,nan,nan,nan,nan,56.00,nan,nan,nan,nan,nan,CE2,63.00,nan,nan,nan,93.50,nan,nan,nan,nan,nan,75.50,65.50,58.00,67.50,72.50,71.00,71.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,nan,nan,nan,nan,nan,nan,71.00,nan,nan,nan,nan,nan,CE2,73.00,nan,nan,nan,98.00,nan,nan,nan,nan,nan,86.00,78.00,70.00,73.00,86.00,75.00,74.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,nan,nan,nan,nan,nan,nan,61.00,nan,nan,nan,nan,nan,CE2,70.00,nan,nan,nan,98.00,nan,nan,nan,nan,nan,82.00,74.00,60.00,64.00,83.00,69.00,66.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire SandrinéO,Maroc,Oujda,EPA,nan,nan,nan,nan,nan,nan,63.00,nan,nan,nan,nan,nan,CE2,77.00,nan,nan,nan,91.00,nan,nan,nan,nan,nan,81.00,77.00,57.00,57.00,85.00,89.00,76.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EFIW / Ecole Mlf,Chine,Wuhan,EE,nan,nan,nan,nan,nan,nan,75.00,nan,nan,nan,nan,nan,CE2,70.00,nan,nan,nan,100.00,nan,nan,nan,nan,nan,83.00,80.00,77.30,57.00,96.00,85.30,90.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée Gros Bouquet II,Gabon,Libreville,EPA,nan,nan,nan,nan,nan,nan,86.00,nan,nan,nan,nan,nan,CE2,78.50,nan,nan,nan,104.40,nan,nan,nan,nan,nan,84.50,86.00,68.70,79.00,75.30,71.70,80.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comilog / Ecole de Moanda,Gabon,Moanda,EE,nan,nan,nan,nan,nan,nan,47.00,nan,nan,nan,nan,nan,CE2,55.50,nan,nan,nan,68.90,nan,nan,nan,nan,nan,73.00,48.00,53.30,45.00,64.00,60.70,51.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire Grain de Soleil,Côte d'Ivoire,Abidjan,EPA,nan,nan,nan,nan,nan,nan,57.42,nan,nan,nan,nan,nan,CE2,74.02,nan,nan,nan,87.46,nan,nan,nan,nan,nan,86.78,79.23,65.57,73.04,76.48,71.57,63.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,nan,nan,nan,nan,nan,nan,70.50,nan,nan,nan,nan,nan,CE2,79.00,nan,nan,nan,72.70,nan,nan,nan,nan,nan,83.20,76.50,76.80,73.05,88.27,69.80,68.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,63.50,nan,nan,nan,nan,nan,CM1,55.00,nan,nan,nan,102.86,nan,nan,nan,nan,nan,nan,82.50,nan,nan,74.50,51.50,nan,63.00,72.00,81.00,64.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,69.70,nan,nan,nan,nan,nan,CM1,61.00,nan,nan,nan,105.90,nan,nan,nan,nan,nan,nan,80.60,nan,nan,77.90,62.20,nan,69.30,73.00,85.30,65.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,84.50,nan,nan,nan,nan,nan,CM1,81.30,nan,nan,nan,102.94,nan,nan,nan,nan,nan,nan,82.40,nan,nan,86.80,64.80,nan,86.20,77.30,87.40,82.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,75.10,nan,nan,nan,nan,nan,CM1,64.80,nan,nan,nan,102.02,nan,nan,nan,nan,nan,nan,77.70,nan,nan,69.90,59.30,nan,66.40,67.70,89.80,71.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français André Malraux,Espagne,Murcie,EPR,nan,nan,nan,nan,nan,nan,84.10,nan,nan,nan,nan,nan,CM1,69.10,nan,nan,nan,117.73,nan,nan,nan,nan,nan,nan,65.10,nan,nan,83.00,57.80,nan,74.70,66.80,79.80,67.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,79.00,nan,nan,nan,nan,nan,CM1,81.30,nan,nan,nan,101.35,nan,nan,nan,nan,nan,nan,78.40,nan,nan,79.10,58.00,nan,81.00,69.70,74.40,81.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,72.90,nan,nan,nan,nan,nan,CM1,71.40,nan,nan,nan,105.94,nan,nan,nan,nan,nan,nan,82.10,nan,nan,79.00,67.00,nan,85.00,75.90,88.10,81.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,70.60,nan,nan,nan,nan,nan,CM1,74.20,nan,nan,nan,104.82,nan,nan,nan,nan,nan,nan,70.70,nan,nan,79.60,67.10,nan,75.50,71.00,75.10,67.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Saragosse,Espagne,Saragosse,EPR,nan,nan,nan,nan,nan,nan,70.80,nan,nan,nan,nan,nan,CM1,73.90,nan,nan,nan,103.58,nan,nan,nan,nan,nan,nan,74.80,nan,nan,80.50,70.70,nan,86.10,77.20,82.20,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Castilla y León,Espagne,Valladolid,EPR,nan,nan,nan,nan,nan,nan,66.60,nan,nan,nan,nan,nan,CM1,78.60,nan,nan,nan,106.22,nan,nan,nan,nan,nan,nan,73.30,nan,nan,72.70,57.60,nan,70.40,54.90,73.60,59.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,73.80,nan,nan,nan,nan,nan,CM1,68.10,nan,nan,nan,105.55,nan,nan,nan,nan,nan,nan,65.90,nan,nan,74.10,57.00,nan,71.00,61.90,77.50,72.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée franco-éthiopien Guébré Mariam,Ethiopie,Addis-Abeba,EPR,nan,nan,nan,nan,nan,nan,63.30,nan,nan,nan,nan,nan,CM1,61.40,nan,nan,nan,111.43,nan,nan,nan,nan,nan,nan,66.40,nan,nan,73.90,55.90,nan,65.10,64.40,66.90,53.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École française de Thessalonique,Grèce,Thessalonique,EPR,nan,nan,nan,nan,nan,nan,75.40,nan,nan,nan,nan,nan,CM1,57.50,nan,nan,nan,107.97,nan,nan,nan,nan,nan,nan,81.70,nan,nan,89.60,79.00,nan,70.00,79.40,87.50,67.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Victor Hugo,Italie,Florence,EPR,nan,nan,nan,nan,nan,nan,78.80,nan,nan,nan,nan,nan,CM1,85.00,nan,nan,nan,105.86,nan,nan,nan,nan,nan,nan,77.20,nan,nan,81.20,60.10,nan,78.70,75.90,83.30,80.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Areva / Ecole Mlf,Finlande,Rauma,EE,nan,nan,nan,nan,nan,nan,100.00,nan,nan,nan,nan,nan,CM1,100.00,nan,nan,nan,114.57,nan,nan,nan,nan,nan,nan,25.00,nan,nan,96.90,68.00,nan,90.00,84.70,100.00,81.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF TotalEnergies ,Royaume-Uni,Aberdeen,EE,nan,nan,nan,nan,nan,nan,95.80,nan,nan,nan,nan,nan,CM1,75.00,nan,nan,nan,98.80,nan,nan,nan,nan,nan,nan,87.50,nan,nan,90.90,69.00,nan,80.00,79.90,64.60,78.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF Bouygues Bâtiment International,Turkménistan,Ashgabat,EE,nan,nan,nan,nan,nan,nan,66.70,nan,nan,nan,nan,nan,CM1,83.30,nan,nan,nan,96.61,nan,nan,nan,nan,nan,nan,86.10,nan,nan,79.50,60.30,nan,86.70,87.00,72.20,75.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,nan,nan,nan,nan,nan,nan,71.60,nan,nan,nan,nan,nan,CM1,62.50,nan,nan,nan,104.39,nan,nan,nan,nan,nan,nan,80.30,nan,nan,81.10,60.80,nan,74.10,74.60,83.10,67.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TFS - École internationale du Canada,Canada (hors Québec),Toronto,EPA,nan,nan,nan,nan,nan,nan,79.80,nan,nan,nan,nan,nan,CM1,68.90,nan,nan,nan,112.29,nan,nan,nan,nan,nan,nan,64.80,nan,nan,86.20,62.20,nan,71.90,56.40,67.40,66.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,nan,nan,nan,nan,nan,nan,83.00,nan,nan,nan,nan,nan,CM1,73.00,nan,nan,nan,95.23,nan,nan,nan,nan,nan,nan,78.50,nan,nan,90.50,78.10,nan,78.40,79.50,83.80,74.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Honoré de Balzac,Egypte,Le Caire,EPA,nan,nan,nan,nan,nan,nan,55.80,nan,nan,nan,nan,nan,CM1,42.80,nan,nan,nan,120.87,nan,nan,nan,nan,nan,nan,65.70,nan,nan,70.00,51.70,nan,52.40,63.00,68.50,45.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ISE Molière,Egypte,Alexandrie,EPA,nan,nan,nan,nan,nan,nan,57.50,nan,nan,nan,nan,nan,CM1,55.00,nan,nan,nan,106.94,nan,nan,nan,nan,nan,nan,59.20,nan,nan,60.20,71.40,nan,41.00,73.60,76.70,50.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,nan,nan,nan,nan,nan,nan,74.90,nan,nan,nan,nan,nan,CM1,70.10,nan,nan,nan,98.29,nan,nan,nan,nan,nan,nan,77.70,nan,nan,84.20,64.70,nan,78.10,74.10,84.30,75.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
